measurement,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5
1,50.29,23.11,18.17,16.4,27.71,20.32,15.72,21.26,19.23,21.66,23.7,22.5,25.29,17.27,20.88
2,49.74,22.94,18.04,16.39,27.61,20.42,15.86,21.35,19.07,21.7,23.71,22.37,24.77,17.6,21.06
3,49.78,22.71,17.88,16.41,27.74,20.66,15.9,21.48,19.4,21.57,23.62,22.56,25.08,17.73,21.29
4,50.18,22.7,18.19,15.89,28.04,20,15.83,21.53,19.22,22.17,23.19,22.67,24.99,17.75,20.9
5,50.1,23.21,17.88,16.21,27.92,20.32,15.57,21.24,19.46,21.71,22.96,22.75,25,17.8,21.3
avg,50.018,22.934,18.032,16.26,27.804,20.344,15.776,21.372,19.276,21.762,23.436,22.57,25.026,17.63,21.086
